date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-05,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.4
2019-01-05,1,National Issues,Rising Prices,3,-1.0,1.5,8.62
2019-01-05,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.02
2019-01-05,1,National Issues,Terror Attacks,5,1.0,0.9,2.73
2019-01-05,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-05,1,National Issues,Other Issues,7,0.0,0.0,27.84
2019-01-05,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.01
2019-01-05,2,Quality of Life Index,Improved,0,1.0,1.3,39.24
2019-01-05,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.11
2019-01-05,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,27.93
2019-01-05,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.72
2019-01-05,5,Index of Optimism,Will Improve,0,1.0,1.5,53.9
2019-01-05,5,Index of Optimism,Will remain the same,1,0.0,0.2,10.46
2019-01-05,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.39
2019-01-05,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,26.25
2019-01-05,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.78
2019-01-05,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.44
2019-01-05,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.93
2019-01-05,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,20.21
2019-01-05,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.64
2019-01-05,7,Media Usage,TV news channels,0,0.0,0.0,53.11
2019-01-05,7,Media Usage,Radio,1,0.0,0.0,1.61
2019-01-05,7,Media Usage,Newspapers,2,0.0,0.0,13.93
2019-01-05,7,Media Usage,News magazines,3,0.0,0.0,0.14
2019-01-05,7,Media Usage,Internet / social media,4,0.0,0.0,24.29
2019-01-05,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.25
2019-01-05,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,3.35
2019-01-05,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.43
2019-01-06,1,National Issues,Corruption,0,-1.0,1.0,10.11
2019-01-06,1,National Issues,Unemployment,1,-1.0,1.5,29.03
2019-01-06,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.17
2019-01-06,1,National Issues,Rising Prices,3,-1.0,1.5,8.33
2019-01-06,1,National Issues,Electricity Road Water,4,-1.0,0.8,4.72
2019-01-06,1,National Issues,Terror Attacks,5,1.0,0.9,2.44
2019-01-06,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-06,1,National Issues,Other Issues,7,0.0,0.0,27.9
2019-01-06,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.3
2019-01-06,2,Quality of Life Index,Improved,0,1.0,1.3,39.97
2019-01-06,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.27
2019-01-06,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,26.95
2019-01-06,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.81
2019-01-06,5,Index of Optimism,Will Improve,0,1.0,1.5,53.36
2019-01-06,5,Index of Optimism,Will remain the same,1,0.0,0.2,10.96
2019-01-06,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.6
2019-01-06,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,26.08
2019-01-06,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,13.47
2019-01-06,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.84
2019-01-06,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.77
2019-01-06,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,19.32
2019-01-06,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.6
2019-01-06,7,Media Usage,TV news channels,0,0.0,0.0,53.55
2019-01-06,7,Media Usage,Radio,1,0.0,0.0,1.64
2019-01-06,7,Media Usage,Newspapers,2,0.0,0.0,13.28
2019-01-06,7,Media Usage,News magazines,3,0.0,0.0,0.15
2019-01-06,7,Media Usage,Internet / social media,4,0.0,0.0,24.25
2019-01-06,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.36
