date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2019-07-06,23.31,1.71,40.11,34.87
2019-07-07,23.31,1.71,40.11,34.87
2019-07-08,22.93,1.71,41.63,33.73
2019-07-09,22.89,1.69,41.57,33.85
2019-07-10,23.02,1.75,40.89,34.34
2019-07-11,22.4,1.74,40.42,35.44
2019-07-12,22.98,1.8,40.48,34.74
2019-07-13,23.04,1.8,40.5,34.66
2019-07-14,23.04,1.8,40.5,34.66
2019-07-15,23.49,1.97,40.01,34.53
2019-07-16,23.44,1.8,39.1,35.66
2019-07-17,23.44,1.8,39.1,35.66
2019-07-18,23.44,1.85,39.08,35.63
2019-07-19,24.24,1.81,39.76,34.19
2019-07-20,25.25,1.53,39.1,34.12
2019-07-21,25.25,1.53,39.1,34.12
2019-07-22,25.64,1.49,39.71,33.16
2019-07-23,24.59,1.47,40.38,33.56
2019-07-24,24.15,1.26,40.4,34.19
2019-07-25,23.58,1.2,40.11,35.11
2019-07-26,22.84,1.28,39.78,36.1
2019-07-27,23.32,1.3,40.18,35.2
2019-07-28,23.32,1.3,40.18,35.2
2019-07-29,23.0,1.29,39.63,36.08
2019-07-30,23.09,1.28,39.58,36.05
2019-07-31,22.75,1.34,39.39,36.52
2019-08-01,22.37,1.19,40.76,35.68
2019-08-02,22.84,1.16,41.61,34.39
2019-08-03,22.84,1.16,41.61,34.39
2019-08-04,22.84,1.16,41.61,34.39
2019-08-05,23.06,1.22,40.72,35.0
2019-08-06,22.87,1.16,41.28,34.69
2019-08-07,22.6,1.34,41.64,34.42
2019-08-08,22.46,1.34,42.26,33.94
2019-08-09,23.1,1.38,41.59,33.93
2019-08-10,22.9,1.57,41.34,34.19
2019-08-11,22.9,1.57,41.34,34.19
2019-08-12,22.9,1.57,41.34,34.19
2019-08-13,23.34,1.6,41.49,33.57
2019-08-14,23.36,1.59,41.5,33.55
2019-08-15,23.36,1.59,41.5,33.55
2019-08-16,23.62,1.59,41.91,32.88
2019-08-17,22.9,1.6,42.1,33.4
2019-08-18,22.9,1.6,42.1,33.4
2019-08-19,22.09,1.76,42.47,33.68
2019-08-20,22.62,1.87,42.79,32.72
2019-08-21,22.97,1.92,42.58,32.53
2019-08-22,22.77,2.0,42.48,32.75
2019-08-23,22.78,2.12,42.34,32.76
2019-08-24,22.78,2.12,42.34,32.76
2019-08-25,22.78,2.12,42.34,32.76
2019-08-26,22.81,2.24,42.23,32.72
2019-08-27,22.79,2.23,42.27,32.71
2019-08-28,22.81,2.42,42.22,32.55
2019-08-29,22.18,3.46,41.4,32.96
2019-08-30,22.28,3.7,41.18,32.84
2019-08-31,22.0,3.74,41.19,33.07
2019-09-01,22.0,3.74,41.19,33.07
2019-09-02,22.0,3.74,41.19,33.07
2019-09-03,22.0,3.83,41.19,32.98
2019-09-04,21.89,3.81,41.39,32.91
2019-09-05,22.3,3.87,41.4,32.43
2019-09-06,22.27,3.75,41.27,32.71
2019-09-07,22.43,3.72,41.14,32.71
2019-09-08,22.43,3.72,41.14,32.71
2019-09-09,22.45,3.54,41.0,33.01
2019-09-10,22.45,3.53,40.98,33.04
2019-09-11,22.45,3.5,41.13,32.92
2019-09-12,22.59,3.26,41.45,32.7
2019-09-13,22.72,3.15,41.31,32.82
2019-09-14,22.89,3.0,41.3,32.81
2019-09-15,22.89,3.0,41.3,32.81
2019-09-16,23.04,2.92,41.29,32.75
2019-09-17,23.27,2.86,41.18,32.69
2019-09-18,23.14,2.93,41.18,32.75
2019-09-19,23.34,3.57,40.7,32.39
2019-09-20,24.84,2.85,39.2,33.11
2019-09-21,25.68,2.43,38.66,33.23
2019-09-22,25.68,2.43,38.66,33.23
2019-09-23,25.89,2.43,38.7,32.98
2019-09-24,26.06,2.39,38.81,32.74
2019-09-25,25.96,2.4,39.0,32.64
2019-09-26,25.92,2.44,38.85,32.79
2019-09-27,26.05,1.92,38.74,33.29
2019-09-28,26.05,1.92,38.74,33.29
2019-09-29,26.05,1.92,38.74,33.29
2019-09-30,27.48,1.59,38.32,32.61
2019-10-01,27.63,1.67,38.09,32.61
2019-10-02,27.63,1.67,38.09,32.61
2019-10-03,27.61,1.71,37.98,32.7
2019-10-04,27.89,1.67,37.75,32.69
2019-10-05,29.28,1.31,36.3,33.11
2019-10-06,29.28,1.31,36.3,33.11
2019-10-07,29.5,1.28,35.75,33.47
2019-10-08,29.5,1.28,35.75,33.47
2019-10-09,29.58,1.22,35.82,33.38
2019-10-10,29.49,1.19,35.9,33.42
2019-10-11,31.14,1.0,35.27,32.59
2019-10-12,32.02,0.84,34.38,32.76
2019-10-13,32.02,0.84,34.38,32.76
2019-10-14,32.39,0.85,33.96,32.8
2019-10-15,32.28,0.78,34.07,32.87
2019-10-16,32.17,0.76,33.94,33.13
2019-10-17,32.55,0.7,33.82,32.93
2019-10-18,33.16,0.69,33.29,32.86
2019-10-19,32.67,0.75,34.03,32.55
2019-10-20,32.67,0.75,34.03,32.55
2019-10-21,32.61,0.73,34.05,32.61
2019-10-22,32.87,0.68,34.15,32.3
2019-10-23,32.81,0.65,34.33,32.21
2019-10-24,32.75,0.64,34.42,32.19
2019-10-25,32.67,0.66,34.46,32.21
2019-10-26,32.67,0.66,34.46,32.21
2019-10-27,32.67,0.66,34.46,32.21
2019-10-28,32.67,0.66,34.46,32.21
2019-10-29,32.67,0.66,34.46,32.21
2019-10-30,32.5,0.6,34.65,32.25
2019-10-31,30.77,0.56,35.35,33.32
2019-11-01,30.13,0.59,35.02,34.26
